ingredient,benefit,best_for_skin_type,best_for_condition
Salicylic Acid,Clears clogged pores,Oily; Combination,Acne
Hyaluronic Acid,Deep hydration,Dry; Sensitive,Dry Skin; Eczema
Tea Tree Oil,Antibacterial,Oily; Normal,Acne
Ceramides,Restores skin barrier,Dry; Sensitive,Eczema; Dry Skin
Oat Extract,Soothes irritation,Dry,Psoriasis
Zinc Oxide,UV Protection,All,Sensitive; Acne
Vitamin C,Brightens skin,All,Vitiligo
Green Tea Extract,Reduces redness; antioxidant,Sensitive,Eczema; Dry Skin
Retinol,Anti-aging; improves texture,Normal; Dry,Wrinkles
Activated Charcoal,Absorbs excess oil,Oily; Combination,Acne; Blackheads
Squalane,Lightweight hydration,Normal; Combination,
